no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa,meal_time,kategori_gizi
51,Kue jahe,"Tepung terigu, jahe",3.7,425,1600,8800,84600.0,1200,155,61.0,4.0,25,80.0,0.15,0.7,0.0,7000,manis,breakfast,makronutrien tinggi
52,Kue kelapa,"Tepung terigu, kelapa",3.3,591,5600,42100,47500.0,1000,32,180.0,1.6,33,443.0,0.5,1.1,0.0,8000,manis,breakfast,mineral tinggi
53,Kue koa,Tepung ketan,14.5,340,4800,400,79300.0,800,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6500,manis,breakfast,makronutrien tinggi
54,Kue ku temu,"Tepung beras, ubi",46.2,214,3500,200,49600.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6500,manis,breakfast,makronutrien tinggi
55,Kue lumpur,"Tepung terigu, santan",40.1,291,3600,11100,44100.0,1000,96,60.0,2.3,20,50.0,0.1,0.5,0.0,7500,manis,breakfast,makronutrien tinggi
56,Kue pelita,"Tepung beras, santan",71.0,141,5300,5500,17600.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6500,manis,breakfast,gizi sedang/rendah
57,Kue putu cangkir,"Tepung beras, kelapa",32.6,304,5300,7000,54900.0,900,18,193.0,4.0,20,50.0,0.1,0.5,0.0,7000,manis,breakfast,makronutrien tinggi
58,Kue sus,"Tepung terigu, telur",56.6,221,7500,10200,24800.0,1000,105,85.0,2.5,20,40.0,0.1,0.5,0.0,7500,manis,breakfast,gizi sedang/rendah
59,Kue thipan,"Tepung beras, kelapa",43.0,247,2900,4200,49500.0,1000,16,107.0,1.8,95,56.0,1.3,0.8,0.0,7000,manis,breakfast,makronutrien tinggi
60,Laksa/Putu mayang,Tepung beras,73.2,121,1700,3400,21100.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6000,gurih,breakfast,gizi sedang/rendah
61,Lapis legit,"Tepung terigu, telur",21.3,389,6600,15700,55500.0,500,16,136.0,1.9,20,40.0,0.1,0.5,0.0,9000,manis,"breakfast, dinner, lunch",makronutrien tinggi
62,Lupis ketan,Tepung ketan,61.0,164,1800,2100,34500.0,700,119,31.0,1.5,20,40.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
63,Manan samin,"Tepung terigu, samin",27.1,379,3400,18100,50600.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
64,Martabak india,"Tepung terigu, telur, daging",65.8,153,4500,4200,24300.0,1000,14,108.0,2.4,240,112.0,0.4,0.5,0.0,9000,gurih,"dinner, lunch",mineral tinggi
65,Martabak mesir,"Tepung terigu, telur, daging",40.2,278,5100,8600,45000.0,1000,49,168.0,3.4,193,123.0,0.2,0.9,0.0,9000,gurih,"dinner, lunch",mineral tinggi
66,Masekat,Tepung ketan,15.6,369,2100,7000,74100.0,4000,17,52.0,0.8,141,12.0,0.4,0.3,0.0,6500,manis,"breakfast, dinner, lunch",makronutrien tinggi
67,Mie aceh rebus,Tepung terigu,74.6,113,3000,3200,18100.0,500,22,44.0,1.4,191,36.0,0.2,0.3,0.0,6000,gurih,"dinner, lunch",gizi sedang/rendah
68,Mie ayam,"Tepung terigu, ayam",78.6,102,6200,3900,10500.0,500,262,51.0,1.8,279,40.0,0.1,0.5,0.0,7000,gurih,"dinner, lunch",mineral tinggi
69,Mie bakso,"Tepung terigu, bakso sapi",74.5,114,5300,3000,16400.0,100,286,53.0,1.9,760,40.0,0.1,0.5,0.0,7000,gurih,"dinner, lunch",mineral tinggi
70,Mie celon,Tepung terigu,75.9,102,3000,2100,17800.0,500,12,84.0,1.4,451,112.0,0.1,0.5,0.0,6000,gurih,"dinner, lunch",mineral tinggi
71,Mie pangsit basah,"Tepung terigu, ayam",79.2,105,5900,4900,9400.0,500,208,48.0,2.0,530,40.0,0.1,0.5,0.0,7000,gurih,"dinner, lunch",mineral tinggi
72,Nasi gemuk,"Beras, santan",61.4,192,3800,8800,24400.0,700,15,74.0,1.0,355,63.0,0.2,1.4,0.0,6000,gurih,"dinner, lunch",mineral tinggi
73,Nasi gurih,"Beras, santan",60.5,190,4700,7500,26000.0,700,12,62.0,0.8,296,52.0,0.2,1.2,0.0,6000,gurih,"dinner, lunch",mineral tinggi
74,Nasi minyak,"Beras, minyak",53.3,207,3500,5000,37100.0,800,26,100.0,1.5,74,174.0,0.2,2.2,0.0,6500,gurih,"dinner, lunch",mineral tinggi
75,Nasi rames,"Beras, lauk campur",65.8,155,10300,4200,19100.0,1000,239,62.0,1.8,265,40.0,0.1,0.5,0.0,7000,gurih,"dinner, lunch",mineral tinggi
76,Nopia spesial,"Tepung terigu, gula",11.5,387,5300,7600,74300.0,300,903,133.0,4.2,20,40.0,0.1,0.5,0.0,9000,manis,"breakfast, dinner, lunch",mineral tinggi
77,Onde-onde,"Tepung ketan, kacang hijau",27.7,336,4000,9800,57900.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
78,Padamaran,"Tepung beras, santan",67.6,171,3900,8900,18800.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6500,manis,"breakfast, dinner, lunch",gizi sedang/rendah
79,Pastel,"Tepung terigu, telur, daging",38.3,307,4500,13300,42400.0,1000,296,53.0,2.5,20,40.0,0.1,0.5,0.0,8000,gurih,"dinner, lunch",mineral tinggi
80,Pulut,Beras ketan,49.1,216,2600,3100,44400.0,1000,6,70.0,3.8,100,22.0,0.4,1.3,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
81,Pundut nasi,"Beras, kelapa",77.8,104,1900,4100,15100.0,400,26,100.0,1.5,74,174.0,0.0,0.0,0.0,6000,gurih,"dinner, lunch",mineral tinggi
82,Putri hijau,"Tepung ketan, kelapa",54.8,189,5400,2100,37200.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6500,manis,"breakfast, dinner, lunch",makronutrien tinggi
83,Putri selat,"Tepung beras, santan",66.6,163,2200,6500,23800.0,1000,72,3.0,4.0,6,68.0,0.1,0.5,0.0,6500,manis,"breakfast, dinner, lunch",gizi sedang/rendah
84,Putu sopa,"Tepung beras, kelapa",50.7,215,3300,4100,41100.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,6500,manis,"breakfast, dinner, lunch",makronutrien tinggi
85,Renggi goreng,"Tepung ketan, kelapa",8.8,471,4700,21800,64099.99999999999,6400,4,80.0,1.1,126,29.0,0.9,1.3,0.0,8000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
86,Roti boong,"Tepung terigu, ragi",34.0,341,5500,16200,43300.0,1000,15,65.0,1.1,161,41.0,0.1,0.9,0.0,7000,tawar,breakfast,makronutrien tinggi
87,Roti warna sawo,"Tepung terigu, ragi",40.0,249,7900,1500,49700.0,1000,20,140.0,2.5,500,91.0,0.1,0.5,0.0,7000,tawar,breakfast,mineral tinggi
88,Sarimuka,"Tepung beras, santan",61.5,166,2300,2800,32900.0,1000,36,13.0,2.0,3,34.0,0.0,0.0,0.0,6000,manis,breakfast,makronutrien tinggi
89,Spaghetti,Tepung terigu,66.1,139,7400,2100,22600.0,500,109,53.0,4.7,20,40.0,0.1,0.5,0.0,7000,tawar,"dinner, lunch",gizi sedang/rendah
90,Srikaya ketan,"Tepung ketan, santan",41.0,265,2700,6400,49100.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
91,Sunduk lawang,"Tepung ketan, kelapa",63.4,181,1900,1300,32400.0,1000,20,50.0,0.5,10,30.0,0.1,0.5,0.0,7000,manis,breakfast,gizi sedang/rendah
92,Suwir-suwir,"Tepung ketan, gula",13.4,347,500,900,84200.0,800,42,40.0,4.3,10,20.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
93,Tipa-tipa,Tepung ketan,11.3,355,6200,1200,79800.0,1300,17,328.0,1.6,10,20.0,0.1,0.5,0.0,7000,manis,breakfast,mineral tinggi
94,Wajit camilan,"Tepung ketan, kelapa",27.1,303,6300,2700,63300.0,6900,61,302.0,5.5,10,20.0,0.1,0.5,0.0,7000,manis,breakfast,mineral tinggi
95,Widaran,Tepung terigu,7.0,424,1300,10700,80700.0,200,49,88.0,2.5,10,20.0,0.1,0.5,0.0,7000,gurih,breakfast,makronutrien tinggi
96,Wingko babat,"Tepung ketan, kelapa",29.7,355,3200,15100,51400.0,2400,47,63.0,1.1,10,20.0,0.1,0.5,0.0,7000,manis,breakfast,makronutrien tinggi
97,Yangko,"Tepung ketan, gula",37.4,254,3000,1100,58100.0,800,184,24.0,2.6,10,20.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
98,Nasi Kuning Abon Sapi,"Nasi kuning, Abon sapi",60.0,220,10000,6000,34000.0,500,28,60.0,1.0,10,40.0,0.13,0.7,0.0,8000,gurih,"dinner, lunch",makronutrien tinggi
99,Ampela ayam goreng,ampela ayam,4.8,270,32300,11200,9900.0,0,129,314.0,4.9,980,0.0,0.12,3.3,0.0,12000,gurih,"dinner, lunch",mineral tinggi
100,Usus ayam goreng,usus ayam,4.6,473,45200,26300,13900.0,0,1407,458.0,8.4,800,0.0,0.15,3.5,0.0,12000,gurih,"dinner, lunch",mineral tinggi
101,Bebek goreng,daging bebek,48.8,300,24000,20700,4500.0,0,170,170.0,4.1,34,6.0,0.4,3.0,0.0,15000,gurih,"dinner, lunch",mineral tinggi
102,Dendeng itik,daging itik,12.7,496,30300,33500,18400.0,0,135,370.0,12.5,1081,478.0,0.7,0.3,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
103,Kerupuk urat,urat sapi,3.6,588,53700,40900,1200.0,0,36,15.0,1.3,1024,37.0,0.1,0.2,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
104,Dendeng menjangan,daging rusa,14.3,322,55800,2000,22700.0,0,55,310.0,2.1,765,1282.0,1.7,3.2,0.0,20000,gurih,"breakfast, dinner, lunch",mineral tinggi
105,"Dendeng, mentah",daging sapi,60.0,200,20000,10000,2000.0,0,30,200.0,3.0,100,100.0,0.3,1.0,0.0,12000,gurih,"breakfast, dinner, lunch",mineral tinggi
106,Abon sapi,daging sapi,24.8,358,14600,16100,38600.0,2500,165,136.0,14.6,300,0.0,0.15,2.1,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
107,Daging sapi asap,daging sapi,60.0,182,32000,6000,0.0,0,15,300.0,5.0,1620,485.4,0.03,5.1,0.0,18000,gurih,"dinner, lunch",mineral tinggi
108,Dendeng sapi,daging sapi,25.0,301,55000,9000,0.0,0,30,370.0,5.1,200,0.0,0.2,2.0,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
109,Kornet sapi,daging sapi,53.0,289,16000,25000,0.0,0,10,170.0,4.0,794,94.4,0.07,4.0,0.0,17000,gurih,"dinner, lunch",mineral tinggi
110,Sosis daging sapi,daging sapi,37.6,448,14500,42300,2300.0,0,28,61.0,1.1,765,284.5,0.06,1.7,0.0,17000,gurih,"dinner, lunch",mineral tinggi
111,Sosis hati sapi,hati sapi,56.6,274,16000,22000,3000.0,2300,20,150.0,4.0,654,158.8,0.22,2.2,0.0,17000,gurih,"dinner, lunch",mineral tinggi
112,Dendeng paru-paru sapi,paru sapi,9.7,360,57300,6000,19200.0,0,126,903.0,21.1,1483,864.0,1.2,6.1,0.0,18000,gurih,"breakfast, dinner, lunch",mineral tinggi
113,Paru sapi goreng,paru sapi,45.5,268,23900,12700,14500.0,0,102,315.0,8.8,923,299.0,0.1,1.5,0.0,15000,gurih,"breakfast, dinner, lunch",mineral tinggi
114,Ulat sagu panggang,ulat sagu,41.3,380,11900,30300,14900.0,4800,30,120.0,1.5,260,550.0,3.1,14.2,0.0,14000,gurih,"breakfast, dinner, lunch",mineral tinggi
115,Ayam goreng church texas,ayam,42.2,338,35200,20600,400.0,0,79,221.0,5.6,800,369.5,0.16,1.1,0.0,13000,gurih,"dinner, lunch",mineral tinggi
116,Ayam goreng kalasan,ayam,46.2,275,37400,12200,1300.0,0,116,237.0,5.8,176,321.9,0.16,1.5,0.0,13000,gurih,"dinner, lunch",mineral tinggi
117,Ayam goreng kentucky,ayam,46.5,298,34200,16800,100.0,0,90,284.0,5.5,741,342.0,0.07,1.0,0.0,13000,gurih,"dinner, lunch",mineral tinggi
118,Ayam goreng mbok berek,ayam,43.4,295,39200,13600,1000.0,0,114,278.0,5.4,200,300.0,0.1,1.0,0.0,13000,gurih,"dinner, lunch",mineral tinggi
119,Ayam goreng pasundan,ayam,50.1,246,37900,9000,700.0,0,90,260.0,7.5,180,250.0,0.1,1.0,0.0,13000,gurih,"dinner, lunch",mineral tinggi
120,Ayam goreng pioneer,ayam,44.5,295,37400,14700,600.0,0,108,236.0,6.8,200,250.0,0.1,1.0,0.0,13000,gurih,"dinner, lunch",mineral tinggi
